title,votes,num_answer,views,tags,accepted,q_time,ac_ans_time,ua,users
"Why don't Java's +=, -=, *=, /= compound assignment operators require casting long to int?",3830,11,315k,java casting operators variable-assignment assignment-operator ,True,2012-01-03T10:10:32,2012-01-03T10:15:23,False,"['Honza Brabec', 'Lukas Eder', 'Peter Lawrey', 'Thirler', 'Umesh Awasthi', 'dku.rajkumar', 'dinesh028', 'tinker_fairy', 'Stopfan', 'takra', 'Gabe Nones', 'Konrad Borowski']"
Why is char[] preferred over String for passwords?,3810,17,502k,java string security passwords char ,True,2012-01-16T14:20:42,2012-01-16T14:26:16,False,"['Ahamed', 'Jon Skeet', 'Konrad Garus', 'Bruno', 'alephx', 'josefx', 'Sean Owen', 'emboss', 'Peter Lawrey', 'Oleg Mikheev', 'Graph Theory', 'Geek', 'ACV', 'Pritam Banerjee', 'Aditya Rewari', 'Saathvik', 'Neeraj', 'Dibsyhex']"
Iterate through a HashMap [duplicate],3738,7,4.4m,java loops hashmap iteration ,True,2009-06-30T23:24:14,2009-06-30T23:27:25,True,"['burntsugar', 'harto', 'karim79', 'arvind', 'gabor', 'codethulhu', 'jkarretero', 'Gary Kephart']"
How can I create a memory leak in Java?,3693,61,740k,java memory memory-leaks ,True,2011-06-24T16:11:52,2011-06-24T18:05:10,False,[]
"What is the difference between public, protected, package-private and private in Java?",3624,30,2.5m,java private public protected access-modifiers ,True,2008-10-18T19:53:12,2008-10-18T19:57:50,False,"['intrepion', 'David Segonds', 'Schwern', 'aioobe', 'Abdull', 'John Nilsson', 'Mechanical snail', 'Hoa Nguyen', 'Ravi', 'Eng.Fouad', 'Nambi', 'Joe Phillips', 'samkit shah', 'yoAlex5', 'Prashant', 'Aftab', 'amila isura', 'Shailendra Singh', 'dameng', 'Dov Wasserman', 'Mushfiqur Rahman Abir', 'richa_v', 'ישו אוהב אותך', 'Greedy Coder', 'Pritam Banerjee', 'Christophe Roussy', 'Mudassar', 'Alireza Fattahi', 'Tiyus98', 'Vipul Verma', 'Tushar Baviskar']"
When to use LinkedList over ArrayList in Java?,3572,33,1.4m,java arraylist collections linked-list ,True,2008-11-27T01:36:35,2008-11-27T01:49:42,False,"['sdellysse', 'Numeron', 'Tom Hawtin - tackline', 'Michael Munsey', 'lamont', 'Ruslan', 'Daniel Martin', 'dgtized', 'Ash', 'Ryan', 'Lior Bar-On', 'Dustin', 'Gayan Weerakutti', 'Jesse Wilson', 'Abhijeet Ashok Muneshwar', 'Ajax', 'Rajith Delantha', 'PhiLho', 'Matthew Schinckel', 'chharvey', 'kemiller2002', 'Karussell', 'Nesan Mano', 'Anjali Suman', 'gaijinco', 'Real73', '王奕然', 'pietz', 'Jose Martinez', 'Randhawa']"
How do I convert a String to an int in Java?,3462,30,6.7m,java string type-conversion integer ,True,2011-04-07T18:27:54,2011-04-07T18:29:41,False,"['Unknown user', 'Rob Hruska', 'lukastymo', 'Ali Akdurak', 'Billz', 'Ryboflavin', 'ROMANIA_engineer', 'Oak', 'Dmytro Shvechikov', 'Stefan Dollase', 'Lukas Bauer', 'Giridhar Kumar', 'fitorec', 'Thijser', 'Vitalii Fedorenko', 'Hoa Nguyen', 'Alireza Fattahi', 'Christian Ullenboom', 'Aditya', 'djm.im', 'dxjuv', 'garima garg', 'Abhijeet Kale', 'duyuanchao', 'Ajay Singh Meena', 'Mahozad', 'a55', 'Anis KCHAOU', 'Kevin Ng', 'Yogesh']"
What is a serialVersionUID and why should I use it?,3385,25,1.1m,java serialization serialversionuid ,True,2008-11-12T23:24:56,2008-11-12T23:30:15,False,"['ashokgelal', 'Jon Skeet', 'MetroidFan2002', 'Scott Bale', 'matt b', 'Alexander Torstling', 'Thalaivar', 'Rupesh', 'JegsVala', 'eishay', 'Paŭlo Ebermann', 'Nitesh Soni', 'Henrique Ordine', 'grand johnson', 'Archimedes Trajano', 'Mukti', 'roottraveller', 'Neethu Lalitha', 'David Wright', 'schnell18', 'Geek', 'Naved Ali', 'gagarwa', 'Stanislav Orlov', 'Hari Krishna', 'Shanks D Shiva']"
Initialization of an ArrayList in one line,3275,34,3.6m,java collections arraylist initialization ,True,2009-06-17T04:10:20,2009-06-17T04:13:36,True,"['Macarse', 'Tom', 'coobird', 'Christoffer Hammarström', 'Randyaa', 'Paweł Adamski', 'Naman', 'Mark', 'George', 'Jordão', 'Mohit Tyagi', 'user2801794', 'Richard B', 'Henok T', 'Donald Raab', 'user439407', 'Ozzy', 'user85421', 'Ran Adler', 'Akash Manngroliya', 'yegor256', 'Akila', 'Ant20', 'Dawg', 'Ajay Singh', 'ViliusK', 'Charif DZ', 'Kaplan', 'Manoj Kumar', 'Stefan Reich']"
"How do I test a class that has private methods, fields or inner classes?",3167,59,1.2m,java unit-testing junit tdd ,True,2008-08-29T16:11:09,2008-08-29T16:35:11,False,[]
"Why is printing ""B"" dramatically slower than printing ""#""?",2968,3,256k,java performance loops for-loop system.out ,True,2014-02-21T23:45:43,2014-02-22T00:02:01,False,"['Kuba Spatny', 'Roy Shmuli', 'Abdul Alim Shakir']"
How can I create an executable/runnable JAR with dependencies using Maven?,2843,33,1.8m,java build maven-2 executable-jar build-automation ,True,2009-02-22T08:43:45,2009-02-22T09:31:28,False,"['soemirno', 'André Aronsen', 'Jin Kwon', 'Matthew McCullough', 'Vijay Katam', 'Minisha', 'marioosh', 'Benny Code', 'user189057', 'dsutherland', 'Matthew McCullough', 'Oliver', 'kac-ani', 'Matthew Franglen', 'Anoop Rai', 'Rostislav Stříbrný', 'Fabio', 'Paul Bormans', 'SRG', 'fascynacja', 'EliuX', 'prayagupa', 'uwevil', 'Mayank ', 'salmanbw', 'Rocky Inde', 'Aydin K.', 'Chris', 'Akshay Patel', 'Jan Ziegler']"
How can I fix 'android.os.NetworkOnMainThreadException'?,2695,66,1.5m,java android android-networking networkonmainthread ,True,2011-06-14T12:02:00,2011-06-14T12:15:05,False,"['bejoy george', 'Michael Spector', 'user1169115', 'Dr.Luiji', 'Stevie', 'Mark Allison', 'Dipak Keshariya', 'henry4343', 'venergiac', 'Piyush-Ask Any Difference', 'Dhruv Jindal', 'Vaishali Sutariya', 'raihan ahmed', 'Oleksiy', 'Ashwin S Ashok', 'Kapil Vats', 'sivag1', 'perry', 'rharvey', 'dhiraj kakran', 'Novak', 'amardeep', 'KG6ZVP', 'Nabin', 'yoAlex5', 'El Sushiboi', 'Ravindra babu', 'msysmilu', 'Kacy', 'Sharath kumar', 'Shinoo Goyal']"
Does a finally block always get executed in Java?,2665,51,596k,java error-handling return try-catch-finally ,True,2008-09-15T17:43:54,2008-09-15T17:45:39,False,"['jonny five', 'jodonnell', 'Kevin', 'MooBob42', 'polygenelubricants', 'Eyal Schneider', 'WoodenKitty', 'vibhash', 'Chris Cooper', 'Garth Gilmour', 'shyam', 'Rajendra Jadi', 'James A. N. Stauffer', 'user9189', 'Motti', 'Anonymous Coward', 'Mendelt', 'Jay Riggs', 'bikz05', 'Wasim', 'Meet Vora', 'hellzone', 'Karthikeyan', 'Pradeep Kumaresan', 'abhig', 'Gautam Viradiya', 'Utkarsh Bhatt', 'dkb', 'sam', 'Scott Dorman', 'Alex Miller']"
How do I determine whether an array contains a particular value in Java?,2662,31,2.6m,java arrays ,True,2009-07-15T00:03:21,2009-07-15T00:04:49,False,"['Mike Sickler', 'camickr', 'Tom Hawtin - tackline', 'Intracer', 'icza', 'Sireesh Yarlagadda', 'Uri', 'camickr', 'Mark Rhodes', 'assylias', 'Thomas Owens', 'Tom Hawtin - tackline', 'not', 'Zar E Ahmer', 'jhodges', 'Christian Giménez', 'Shineed Basheer', 'Ryan', 'Kaplan', 'Abhishek Oza', 'Glen Best', 'Akhil Babu Korkandi', 'Mr.G', 'SubbaRao Boddu', 'user19443549', 'TheArchon', 'Avenger', 'Vipul Gulhane', 'mandy1339', 'daparic', 'Jinendra']"
How do I call one constructor from another in Java?,2621,22,1.1m,java constructor ,True,2008-11-12T20:10:19,2008-11-12T20:12:14,False,"['ashokgelal', 'Jon Skeet', 'Christian Fries', 'Kaamel', 'amila isura', 'olovb', 'Anil Nivargi', 'Utsav', 'S R Chaitanya', 'Py-Coder', 'ABHISHEK RANA', 'Akshay Gaikwad', 'Rodney P. Barbati', 'GetBackerZ', 'Akash Manngroliya', 'John McClane', 'S. Mayol', 'Negi Rox', 'Omar Faroque Anik', 'Soni K', 'rogerdpack', 'ansh sachdeva']"
"What's the difference between @Component, @Repository & @Service annotations in Spring?",2514,30,1.1m,java spring spring-mvc annotations ,False,2011-07-26T09:10:46,No ac,False,"['Colin McCree', 'stivlo', 'Raman Sahasi', 'Bozho', 'Oliver', 'Harshal Patil', 'Ajit Singh', 'YogendraR', 'Das', 'atish shimpi', 'Anil Amane', 'hardeep thakur', 'tech.yenduri', 'Arun Raaj', 'Software Engineer', 'Anil Nivargi', 'Alireza Fattahi', 'Manjush', 'Quan Nguyen', 'Amol Dixit', 'Partho', 'Romil Patel', 'Bharath', 'Maria Pomazkina-Karpikova', 'Mykhailo Moskura', 'Jeevan Patil', 'Lova Chittumuri', 'Brajesh', 'UHDante', 'Mohamed Sweelam', 'siddartha kamble']"
What is reflection and why is it useful?,2514,23,1.0m,java reflection terminology ,True,2008-09-01T08:39:21,2008-09-01T08:44:58,False,"['Lehane', 'Matt Sheppard', 'Liedman', 'Ben Williams', 'Desmond Smith', 'toolkit', 'Mendelt', 'Nikhil Shekhar', 'VedantK', 'human.js', 'Isuru Jayakantha', 'pramod', 'roottraveller', 'Jorge Córdoba', 'catch23', 'Marcus Thornton', 'Ravindra babu', 'Mohammed Sarfaraz', 'saumik gupta', 'Ess Kay', 'BSeitkazin', 'cprn', 'Bhushan', 'RSG']"
How do I declare and initialize an array in Java?,2493,31,5.6m,java arrays ,True,2009-07-29T14:22:27,2009-07-29T14:25:23,False,"['bestattendance', 'Isabella Engineer', 'Nate', 'Anirudh', 'Chet', 'Amit Bhandari', 'Thomas Owens', 'Dave', 'codecubed', 'hyper-neutrino', 'Oleksandr Pyrohov', 'Chamly Idunil', 'Muhammad Suleman', '2787184', 'Sylhare', 'Khaled.K', 'Dmitry Rakovets', 'Kirill Podlivaev', 'Samuel Newport', 'Arundev', 'Zia', 'Clement.Xu', 'Zgpeace', 'Konstantin Spirin', 'Virangaa', 'splash', 'kundus', 'duyuanchao', 'Dupinder Singh', 'N4ppeL']"
What's the simplest way to print a Java array?,2367,37,3.1m,java arrays printing tostring ,True,2009-01-03T20:39:39,2009-01-03T20:43:44,False,"['Alex Spurling', 'Limbic System', 'Russ Bateman', 'Eric Baker', 'YoYo', 'laylaylom', 'akhil_mittal', 'Ross', 'Rhyous', 'somedude', 'Aftab', 'Andrew_Dublin', 'Greesh Kumar', 'Debosmit Ray', 'suatCoskun', 'Dylan Black', 'Nikhil S Marathe', 'Ravi Patel', 'Roam', 'Mohamed Idris', 'Haim Raman', 'hasham.98', 'Jean Logeart', 'fjnk', 'Chiara Tumminelli', 'user3369011', 'Peter Lawrey', 'duyuanchao', 'Anis KCHAOU', 'Mehdi']"
"""implements Runnable"" vs ""extends Thread"" in Java",2342,42,757k,java multithreading runnable implements java-threads ,True,2009-02-12T14:28:46,2009-02-12T14:32:54,False,"['user65374', 'Jon Skeet', 'Bob Cross', 'panzerschreck', 'Herms', 'Nidhish Krishnan', 'Saif', 'Fabian Steeg', 'Powerlord', 'Bart van Heukelom', 'Alex - GlassEditor.com', 'starblue', 'Raman Gupta', 'AntonyM', 'n13', 'Jörg', 'Sionnach733', 'Shababb Karim', 'Govula Srinivas', 'developer110', 'didierc', 'Nikhil A A', 'user2771655', 'dharam', 'Ravindra babu', 'Manoj Kumar', 'Tarvaris Jackson', 'Himanshu Mohta', 'Rohit Chugh', 'veritas', 'Vishal']"
How to get an enum value from a string value in Java,2338,32,1.6m,java enums ,True,2009-03-02T22:56:34,2009-03-02T22:57:44,False,"['Malachi', 'Michael Myers', 'JoséMi', 'Darrell Teague', 'Geoffrey Zheng', 'João Portela', 'Hans Schreuder', 'Patrick Arnesen', 'Peter Lawrey', 'Manu Artero', 'Andrejs', 'Murtaza Kanchwala', 'Vikram', 'Novaterata', 'javabrew', 'Ebraheem Alrabeea', 'tom', 'pjklauser', 'Sisyphus', 'Prasobh.Kollattu', 'KNU', 'DCO', 'lance.dolan', 'Nitya Nand Pandey', 'LuCio', 'orly.sharon', 'Swapnil Gangrade', 'Moesio', 'And-y', 'John Hemming', 'Gibolt']"
What is a JavaBean exactly?,2308,23,766k,java dependency-injection inversion-of-control javabeans serializable ,True,2010-07-21T00:41:11,2010-07-21T00:45:24,False,"['Amir Rachum', 'hvgotcodes', 'cHao', 'Kamal', 'Md Azaharuddin Ali', 'kenju', 'HANU', 'Truong Ha', 'Bill K', 'Victor', 'rps', 'Diganta', 'Mike', 'Raghav salotra', 'Balman Rawat', 'vleo', 'Amos Kosgei', 'igonejack', 'Marcus Thornton', 'Parth Chauhan', 'JAdel', 'forsberg', 'supi', 'Esther']"
How do you assert that a certain exception is thrown in JUnit tests?,2258,35,1.8m,java exception junit junit4 assert ,True,2008-10-01T06:56:08,2008-10-01T07:12:13,False,"['SCdF', 'skaffman', 'NamshubWriter', 'daveb', 'walsh', 'Rafal Borowiec', 'bric3', 'NamshubWriter', 'Dilini Rajapaksha', 'Johan', 'weston', 'MariuszS', 'rwitzel', 'John Mikic', 'Alex Collins', 'Daniel Käfer', 'Dherik', 'Hugh Perkins', 'Mark Bessey', 'Mike Nakis', 'Macchiatow', 'Tor P', 'Jobin', 'Shessuky', 'Srini', 'Donatello', 'Piotr Rogowski', 'Ilya Serbis', 'Shirsh Sinha', 'fahrenx', 'MangduYogii']"
Comparing Java enum members: == or equals()?,2117,15,988k,java enums ,True,2009-11-17T17:26:27,2009-11-17T17:29:35,False,"['Matt Ball', 'Matt Ball', 'Reverend Gonzo', 'polygenelubricants', 'Pascal Thivent', 'Tobias', 'Pau', 'Basil Bourque', 'ChrisCantrell', 'Mohsen Zamani', 'Suraj Chandran', 'Tomas', 'ΦXocę 웃 Пepeúpa ツ', 'Jacob van Lingen', 'Dev Amitabh', 'Christ', 'glglgl']"
How to use java.net.URLConnection to fire and handle HTTP requests,2113,12,1.2m,java http httprequest httpurlconnection urlconnection ,True,2010-05-08T06:16:11,2010-05-08T06:16:37,False,[]
Does Java support default parameter values?,2077,28,1.9m,java methods parameters overloading default-parameters ,True,2009-06-15T18:04:28,2009-06-15T18:14:29,False,"['gnavi', 'Kathy Van Stone', 'Eli Courtwright', 'Vitalii Fedorenko', 'Rob H', 'ebelisle', 'peterh', 'lythic', 'Viktor Taranenko', 'simhumileco', 'IronWolf', 'Virendra Pal Singh', 'mrts', 'tomjen', 'Santosh Gokak', 'Tobias', 'hoaz', 'Tomas Bjerre', 'Hamzeh Soboh', 'Marco Polo', 'Novaterata', 'AAGD', 'Michael Sims', 'Umair Khalid', 'Nicholas Jordan', 'Inês Gomes', 'Sobhit Sharma', 'user2498328', 'Legioneroff']"
Java inner class and static nested class,2049,28,912k,java inner-classes static-classes ,True,2008-09-16T08:22:35,2008-09-16T08:28:34,False,"['Omnipotent', 'Martin', 'Jegschemesch', 'jrudolph', 'aleroot', 'Behzad Bahmanyar', 'Thalaivar', 'sactiw', 'tejas', 'rmaruszewski', 'HippoMan', 'Daniel Spiewak', 'Ankit Jain', 'Adelin', 'Wouter Coekaerts', 'VedantK', 'Leogao', 'Mike Stone', 'roottraveller', 'yoAlex5', 'hqt', 'Pankti', 'Pritam Banerjee', 'Mithun Debnath', 'Sohi', 'JCvanDamme', 'Jonathan Cole', 'DigitalRoss', 'Ashish Sharma']"
How do I break out of nested loops in Java?,2046,37,1.4m,java loops nested-loops ,True,2009-05-20T09:07:43,2009-05-20T09:11:22,False,"['boutta', 'Jon Skeet', 'Zo72', 'Joey', 'Elle Mundy', 'simon622', 'Fortega', 'Miguel Ping', 'RusJ', 'zord', 'Swifty McSwifterton', 'ddyer', 'Ihor Rybak', 'Bishal Jaiswal', 'Oleksii Kyslytsyn', 'Hitendra Solanki', 'duyuanchao', 'Rumesh Eranga Hapuarachchi', 'Kiran Maniya', 'Panzercrisis', 'Chit Khine', 'Keshav bansal', 'user2875404', 'ursa', 'Bill', 'Vikrant Kashyap', 'mtyson', 'Harsh Vardhan', 'Ravindra HV', 'Mahesh Peri', 'Siddharth Choudhary']"
How to generate a random alpha-numeric string,1949,46,1.6m,java string random alphanumeric ,True,2008-09-03T02:58:43,2008-09-03T04:04:24,False,[]
How do I split a string in Java?,1902,39,4.7m,java string split ,True,2010-08-14T03:01:53,2010-08-14T03:05:34,False,"['riyana', 'BalusC', 'Rob Hague', 'jjnguy', 'secmask', 'Mnyikka', 'Somaiah Kumbera', 'sandeep vanama', 'Michael Konietzka', 'Dmytro Shvechikov', 'SHUNMUGA RAJ PRABAKARAN', 'eis', 'Vitalii Fedorenko', 'David', 'Ravindra babu', 'rghome', 'RajeshVijayakumar', 'Akhilesh Dhar Dubey', 'akhil_mittal', 'Keshav Pradeep Ramanath', 'Ravi Pandey', 'Sarat Chandra', 'Akshay Gaikwad', 'Rohit-Pandey', 'Divyesh Kanzariya', 'Py-Coder', 'user3773246', 'Jamith NImantha', 'KIBOU Hassan', 'java code point', 'SAM Jr']"
"Why does this code using random strings print ""hello world""?",1884,15,220k,java string random ,True,2013-03-03T04:38:06,2013-03-03T04:40:52,True,"['0x56794E', 'Eng.Fouad', 'FThompson', 'Denis Tulskiy', 'xDD', 'Ilmari Karonen', 'Puru--', 'Sinclair Schuller', 'TwoThe', 'Arnaldo Ignacio Gaspar Véjar', 'tomj0101', 'sulai', 'deed02392', 'Burak Keceli', 'Ilya Gazman', 'nagendra547']"
"Sort a Map<Key, Value> by values",1856,64,1.7m,java sorting dictionary collections ,False,2008-09-20T21:03:23,No ac,False,[]
"What does ""Could not find or load main class"" mean?",1837,61,4.2m,java class program-entry-point ,True,2013-08-07T03:02:46,2013-08-07T03:02:46,False,"['Stephen C', 'Stephen C', 'Stephen C', 'panoet', 'tharinduwijewardane', 'M-Razavi', 'Enamul Hassan', 'Celebes', 'Devs love ZenUML', 'shaILU', 'Yamahar1sp', 'jan.supol', 'Eduardo Dennis', 'Omid Mohebbi', 'Nathan Williams', 'Junchen Liu', 'KawaiKx', 'Ramesh Pareek', 'blue-sky', 'developer747', 'mathewbruens', 'Nenad Bulatović', 'Chezzwizz', 'GuiRitter', 'syntagma', 'arun', 'Anandaraja Ravi', 'Marco V', 'biocyberman', 'khichar.anil', 'Anus Kaleem', 'lor']"
Why use getters and setters/accessors?,1832,37,533k,java oop setter getter abstraction ,True,2009-10-14T18:20:56,2009-10-14T18:47:55,False,"['Dean J', 'LBushkin', 'ChssPly76', 'R. Martinho Fernandes', 'Kai', 'yegor256', 'Peter D', 'Thomas Owens', 'user595447', 'jcdyer', 'Haakon Løtveit', 'Jorge Aguilar', 'kangalio', 'Mohamed', 'Devrath', 'Thorbjørn Ravn Andersen', 'quillbreaker', 'jdehaan', 'John Millikin', 'Justin Niessner', 'abarnert', 'andrers52', 'bobobobo', 'GeZo', 'Pritam Banerjee', 'aditya lath', 'user982042', 'Pete', 'Jason Baker', 'Rakesh Singh', 'Blasanka']"
"How can I avoid Java code in JSP files, using JSP 2?",1760,31,316k,java jsp scriptlet ,True,2010-07-05T07:24:06,2010-07-05T14:19:35,False,"['chmoelders', 'BalusC', 'Stefan Schubert-Peters', 'Bozho', 'Behrang', 'tsand', 'Sami Jmii', 'Thorbjørn Ravn Andersen', 'dipu', 'tomasb', 'msj121', 'Dmitriy R', 'mahesh', 'Thai Tran', 'Chandra Sekhar', 'tanglei', 'CsBalazsHungary', 'kapil das', 'Tobias', 'Razvan', 'mel3kings', 'Yster', 'Ajay Takur', 'adn.911', 'Sumesh TG', 'Eduardo', 'Alireza Fattahi', 'Mehdi', 'Philippe Damerval', 'Vikas', 'bhanwar rathore']"
How do I create a Java string from the contents of a file?,1747,35,1.7m,java string file file-io io ,True,2008-11-28T18:32:07,2008-11-28T18:56:13,False,"['OscarRyz', 'erickson', 'DaWilli', 'Pablo Grisafi', 'Jobin', 'Dónal', 'user590444', 'Andrei N', 'Jon Skeet', 'Yash', 'Home in Time', 'leventov', 'Peter Lawrey', 'Moritz Petersen', 'Claudiu', 'Saikat', 'Dan Dyer', 'Ilya Gazman', 'wau', 'Henry', 'barjak', 'satnam', 'jamesjara', 'Muskovets', 'Nitin', 'Scott S. McCoy', 'Ajk', 'Haakon Løtveit', 'OscarRyz', 'Malcolm Boekhoff']"
Difference between StringBuilder and StringBuffer,1727,33,877k,java stringbuilder stringbuffer ,True,2008-12-10T04:34:26,2008-12-10T04:36:23,False,"['blacktiger', 'sblundy', 'polygenelubricants', 'OscarRyz', 'Bert F', 'user1923551', 'Nicolas Zozol', 'Marc Novakowski', 'Sireesh Yarlagadda', 'JRomio', 'Aftab', 'Learning', 'subodh ray', 'sudhakar', 'Zohra Khan', 'skaffman', 'Sébastien Le Callonnec', 'Kevin Lee', 'Niclas', 'abhishek pathak', 'Ahmad adawi', 'Android Genius', 'Asif Mushtaq', 'Avinash', 'Ketan Patel', 'Shuhail Kadavath', 'Pratik Paul', 'JDGuide', 'Ravindra babu', 'Ganesa Vijayakumar', 'Praveen Kishor']"
How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version,1713,51,2.2m,java jvm incompatibility unsupported-class-version ,True,2012-04-30T11:28:24,2012-07-11T11:59:50,False,"['ERJAN', 'Juha Palomäki', 'Vivek Kumar Ray', 'Cacovsky', 'ERJAN', 'Brad Parks', 'Aniket Thakur', 'Tony', 'Andreas L.', 'Rio', 'kenorb', 'Ben', 'Mandar Pandit', 'user3168034', 'Adit Ya', 'Mace Ojala', 'ethemsulan', 'Thamme Gowda', 'ckielstra', 'L Lawliet', 'Vihung', 'user3534268', 'oraclesoon', 'Siddharth', 'Manohar', 'TomTom', 'Creative_Cimmons', 'Mike-Bell', 'Matthew Wise', 'Sagar Varpe', 'siddmuk2005']"
How does the Java 'for each' loop work?,1707,29,2.9m,java foreach syntactic-sugar ,True,2008-09-17T16:44:32,2008-09-17T16:46:28,False,"['Jay R.', 'Jay R.', 'nsayer', 'Mikezx6r', 'aliteralmind', 'MRocklin', 'toluju', 'akhil_mittal', 'EfForEffort', 'PrivateName', 'Ryan Delucchi', 'Jrovalle', 'oneConsciousness', 'vivekkurien', 'Hank', 'Du-Lacoste', '', 'billjamesdev', 'Alexander Drobyshevsky', 'Manohar', 'stackFan', 'mightyWOZ', 'Pete', 'L Joey', 'gomisha', 'Santhosh Rajkumar', 'TheArchon', 'Rei Brown', 'nabayram', 'Java-Dev', 'IsraelCena']"
